"","SRR24302636","SRR24302631","SRR24302634","SRR24302641","SRR24302632","SRR24302643","SRR24302642","SRR24302639","SRR24302635","SRR24302640","SRR24302633"
"TMEM133",9.86100955279066,4.92067428156119,6.27342187049723,7.33209129981295,8.05028755000415,8.5488868835363,10.0206491799726,5.89785395178224,5.35123242426306,8.90431267224249,9.60703342732306
"UMPS",6.24734766698538,12.301685703903,11.0412224920751,7.18091415961062,6.72695261027744,8.7347322505697,7.8950569296754,6.95325939578538,7.86945944744568,9.15727610043119,5.66242367570697
"DAGLA",5.69611110813373,7.6964392609034,6.18977624555726,5.59355418748617,8.98764979897723,6.87627858023572,6.52860476877004,8.3190782056718,7.71207025849677,8.44897850150281,5.34430998606051
"BAIAP2",8.69728792854828,13.2479692195878,6.85894124507697,11.7918169357817,8.60167710822361,8.05329923811391,12.1462414302698,11.1127984986213,6.45295674690546,6.52645644726864,11.770206516919
"TRAF2",7.77856033046219,7.88569596404037,6.18977624555726,5.14002276687918,7.44375903596274,10.2834436425147,9.10968107270238,6.5186806835488,7.86945944744568,9.25846147170668,8.27095593080793
"GREB1",7.90105734354034,6.62398460979391,6.18977624555726,7.55885701011644,10.9175132527454,9.1064229846365,7.13591684028353,7.13950741531535,4.5642864795185,7.3359394174725,7.63472855151502
"RP9",12.1884528012754,9.39974958913612,15.4744406138932,9.37298269254439,12.1857092366501,11.5843612117485,10.5520472425469,11.1127984986213,8.60394232920728,8.34779313022733,15.3330798409593
"SLC5A6",6.30859617352446,9.02123618286218,4.26592687193811,4.23295992566521,4.63167228904348,7.92940232675831,4.55484053635119,5.64952325907562,7.55468106954785,6.32408570471767,7.82559676530289
"PCED1A",6.18609916044631,7.25484028691714,6.52435874531712,7.10532558950946,6.23070200787992,8.11524769379171,8.12279895649296,5.15286187366238,5.40369548724603,10.371500555737,8.58906962045439
"HLX",3.61366188580527,4.73141757842422,4.516863746758,7.10532558950946,8.32598232911388,4.58418572015715,6.45269075983085,7.26367276166866,5.19384323531415,6.98179061800831,9.41616521353519
"ACOT7",7.22732377161054,5.93004336495836,6.27342187049723,6.8029713091048,5.89986827294825,7.06212394726912,6.22494873301329,7.51200345437528,10.5450756595772,7.13356867492154,6.74401022050493
"TDG",11.88221026858,11.923172297629,16.6454793630526,11.6406397955793,12.7370987948696,14.8676293626718,10.0206491799726,11.5473772108579,12.9583765567939,10.4220932413747,13.3607749651513
"PRMT9",10.5347431247205,9.14740731828683,11.6267418666549,10.6579883842642,9.15306666644307,11.7702065787819,7.21183084922272,9.43656632285159,11.2795585413388,10.573871298288,11.3248473514139
"MEN1",10.2897490985642,10.0936908339717,8.02997999423645,8.39033128122925,10.6418184736356,10.1595467311591,8.57828301012808,9.80906236191152,8.65640539219025,10.3209078700992,11.3884700893432
"ZC3H8",11.5147192293456,12.4278568393276,10.2047662426755,10.3556341038595,8.82223293151139,9.60201063005889,9.18559508164157,10.802385132738,10.3352234076453,11.5857250110428,9.03442878595944
"TCTN1",8.32979688931385,8.89506504743754,8.3645624939963,8.9194512719374,9.48390040137475,12.1418973128487,8.57828301012808,8.00866483978852,8.97118377008808,10.3209078700992,10.8158654479796
"AMDHD2",5.94110513429002,3.78513406273938,5.18602874627771,4.23295992566521,5.34847871472878,4.77003108719055,4.70666855422956,5.77368860542893,6.61034593585437,8.70194192969152,5.28068724813122
"SLC36A1",3.67491039234434,5.23610212012281,2.09114062349908,4.08178278546288,2.59153092363147,6.13289711210213,2.73290432181071,4.1595391028359,2.15098558230182,7.3359394174725,2.54490951717167
"ZNF514",10.1060035789469,9.77826299541006,8.28091686905634,8.01238843072343,9.04278875479918,10.1595467311591,9.10968107270238,11.7336252303878,8.65640539219025,9.25846147170668,13.297152227222
"CPNE8",6.00235364082909,5.4884443909721,3.93134437217826,5.89590846789083,7.05778634520912,8.5488868835363,8.12279895649296,7.7603341470819,5.77093692812683,7.18416136055928,11.0067336617675
"GRM8",3.98115292503971,4.6683320107119,1.5892668738593,3.93060564526055,4.46625542157764,0.805329923811391,10.5520472425469,4.59411781507248,2.25591170826776,2.42844891061159,2.41766404131309
"WRN",8.2072998762357,7.44409699005411,7.61175186953664,8.99503984203857,9.98015100377227,8.17719614946951,9.64107913527669,9.87114503508817,7.97438557341162,10.9786127833899,7.88921950323218
"NT5C",15.0058841020727,8.01186709946502,15.5580862388331,16.4783082820538,10.9726522085673,12.3277426798821,12.2980694481482,9.87114503508817,10.4926125965942,11.3327615828541,14.3151160340907
"C7orf26",10.9022341639549,13.5633970581494,11.375804991835,13.9082968986143,11.1380690760331,10.5931859209037,10.3243052157294,11.0507158254446,11.8566522341515,12.5469860381599,12.2791884203533
"NCKAP1L",0.796230585007941,3.40662065646544,0.752810624459667,1.73853711232678,2.1504192770559,3.46911351795676,2.04967824135804,2.42122425388955,2.30837477125073,6.88060524673283,1.78143666202017
"EEPD1",13.1071803993615,10.9138032142319,14.8889212393134,11.6406397955793,11.7445975900745,15.4871139194498,13.6645216090536,11.6094598840345,12.2238936750323,13.4070616940015,13.4880204410099
"IGSF5",7.65606331738405,10.6614609433826,11.7940331165348,13.3035883378049,8.05028755000415,4.46028880880155,8.04688494755377,9.80906236191152,8.55147926622431,8.65134924405378,6.10778284121201
"HACL1",14.7608900759164,12.5540279747523,16.2272512383528,14.5130054594236,13.5641831321988,13.3808664264046,12.5258114749658,15.5206682941638,14.0601008794363,13.3564690083637,16.0965526961108
"ERICH5",10.1060035789469,5.4884443909721,12.6304893659344,7.63444558021761,5.67931244966046,5.94705174506873,9.5651651263375,5.09077920048573,8.70886845517322,7.3359394174725,4.51721439297972
"SNRPN",5.08362604274301,6.18238563580765,7.77904311941656,6.12267417819432,7.66431485925052,8.6108353392141,4.32709850953363,8.69157424473173,8.91872070710511,5.868751533978,5.15344177227264
"ADPRHL2",17.2108303374793,15.7713919280807,15.0562124891933,19.3506739458981,14.7221012044596,15.734907742161,18.8266742169183,18.19022324076,15.1093621390957,15.6331398620621,18.1324803098482
"TPBG",5.69611110813373,3.91130519816402,3.17853374771859,5.06443419677802,4.24569959828986,8.9825260732809,6.83226080452679,5.33910989319235,4.93152792039929,7.89245895948766,6.80763295843422
"SWI5",12.1884528012754,9.77826299541006,14.6379843644935,10.3556341038595,9.5390393571967,11.7702065787819,10.5520472425469,11.2369638449746,12.6435981788961,10.7762420408389,14.6968524616664
"ARHGAP6",5.75735961467281,5.29918768783513,4.93509187145782,8.69268556163391,9.5390393571967,8.6108353392141,8.95785305482401,7.63616880072859,8.23670088832648,7.89245895948766,8.84356057217156
"BBIP1",17.0270848178621,10.8507176465195,21.5805712345105,17.6121368335713,11.6343196784307,14.7437324513162,16.6251679576818,11.3611291913279,14.3224161943511,12.7999494663486,15.7784390064644
"APAF1",4.6548864969695,7.44409699005411,2.84395124795874,4.30854849576637,5.34847871472878,7.49576313701372,6.22494873301329,7.57408612755193,4.30197116460364,7.89245895948766,4.89895082055547
"FAM174B",6.24734766698538,12.1755145684783,9.45195561821582,11.4138740852758,9.26334457808696,5.32756718829074,10.5520472425469,9.62281434238155,9.12857295903699,5.05926856377414,9.22529699974731
"HIST1H2BD",10.1060035789469,10.6614609433826,15.5580862388331,14.1350626089178,13.9501558229524,11.8321550344597,14.1200056626887,13.8444361183941,12.8534504308279,9.96675907063506,16.7327800754037
"DHRS4-AS1",12.0047072816582,12.4909424070399,16.8964162378725,10.8091655244665,14.2809895578841,11.8941034901375,14.2718336805671,11.5473772108579,10.1253711557134,13.5588397509147,13.1062840134341
"HLA-H",6.73733571929796,7.44409699005411,4.516863746758,9.67533697294905,7.77459277089442,4.21249498609035,3.9475284648377,2.97996831247945,2.67561621213153,5.05926856377414,5.21706451020193
"KIAA0895L",7.04357825199332,8.89506504743754,7.19352374483682,7.02973701940829,6.28584096370187,11.1507220220039,5.38989463468224,6.39451533719548,8.18423782534351,8.19601507331411,8.33457866873723
"ZNF501",4.83863201658672,4.85758871384887,6.60800437025708,3.47707422465356,7.88487068253831,7.12407240294692,5.69355067043899,6.70492870307876,8.18423782534351,6.98179061800831,5.78966915156555
"TRIAP1",15.0671326086118,13.6264826258618,21.0786974848707,13.9838854687154,13.6193220880207,13.0091756923379,11.1593593140604,13.7202707720408,12.5386720529301,10.4726859270125,16.9236482891916
"KCNJ2-AS1",6.67608721275889,4.41598973986261,8.11362561917641,6.19826274829548,7.05778634520912,7.30991776998032,5.76946467937818,5.83577127860559,9.86305584079859,5.66638079142704,4.38996891712114
"ARNTL",2.08244922232846,5.4884443909721,1.42197562397937,2.57001138343959,1.26819598390476,5.51341255532414,2.04967824135804,1.73831484894635,3.61995134582501,5.96993690525349,1.78143666202017
"ARL4C",7.22732377161054,2.83885054705453,1.08739312421952,4.15737135556404,2.42611405616563,1.98235058168958,2.42924828605397,4.71828316142579,6.29556755795655,3.74385873719286,3.8809870136868
"NADSYN1",14.2096535170648,13.5003114904371,14.4706931146136,15.3444797305364,10.6418184736356,13.6286602491158,17.080652011317,13.0994440402742,12.4862089899471,13.305876322726,19.0231986408583
